style_function,response1,response2,match
ALL CAPS,0.2794017675050986,0.16383412644459552,0.6971447994561523
Blockquotes,0.003229095853161115,0.005608429639700884,0.991162474507138
Bullets,0.060503059143439834,0.06560163154316791,0.8851121685927941
Code Formatting,0.03976886471787899,0.06220258327668253,0.9187627464309993
Emojis,0.007817811012916384,0.01070700203942896,0.9824949014276003
Exclamations,0.10842963970088375,0.3713460231135282,0.612338545207342
First-Person Pronouns,0.39174031271244053,0.4692386131883073,0.5292318150917743
Greeting (Start),0.0006798096532970768,0.0022093813732154996,0.997450713800136
Header/Title,0.025322909585316113,0.02566281441196465,0.9534330387491502
Links,0.010027192386131882,0.0037389530931339226,0.9865737593473828
List,0.1441196464989803,0.13460231135282122,0.7814411964649898
Long Sentences,0.17369136641740313,0.15465669612508498,0.7338545207341944
Markdown,0.2709041468388851,0.2571380013596193,0.6269544527532291
Math Symbols,0.5616927260367097,0.3847722637661455,0.4950713800135962
Numbered Steps,0.10503059143439837,0.04010876954452753,0.86743711760707
Parentheses,0.2715839564921822,0.15295717199184228,0.67675050985724
Questions,0.28433038749150236,0.20989123045547248,0.6342624065261727
Repetition,0.8144119646498981,0.6001019714479946,0.5528552005438477
Sign-off (End),0.0015295717199184228,0.0011896668932698845,0.9972807613868117
Starts with List,0.06254248810333107,0.10859959211420803,0.8455132562882393
