style_function,response1,response2,match
ALL CAPS,0.2790152403282532,0.22801875732708088,0.705158264947245
Blockquotes,0.003077373974208675,0.002198124267291911,0.9947245017584995
Bullets,0.061694021101992964,0.16354044548651817,0.8017291910902696
Code Formatting,0.03898007033997655,0.0805978898007034,0.9144196951934349
Emojis,0.007473622508792497,0.011723329425556858,0.9828546307151231
Exclamations,0.10682883939038687,0.16222157092614303,0.8012895662368112
First-Person Pronouns,0.3854044548651817,0.46409730363423213,0.5778135990621337
Greeting (Start),0.0005861664712778429,0.0010257913247362252,0.9986811254396248
Header/Title,0.02579132473622509,0.021395076201641265,0.9604337631887456
Links,0.01011137162954279,0.0051289566236811255,0.9853458382180539
List,0.1455158264947245,0.2716881594372802,0.7014947245017585
Long Sentences,0.17453106682297773,0.19050410316529895,0.7199589683470106
Markdown,0.26817116060961316,0.44563305978898005,0.5628663540445487
Math Symbols,0.5628663540445487,0.6289566236811255,0.5490914419695193
Numbered Steps,0.10609613130128957,0.11488862837045721,0.8159437280187574
Parentheses,0.27359320046893315,0.2944021101992966,0.6386283704572099
Questions,0.2847303634232122,0.3726553341148886,0.6204572098475967
Repetition,0.8118405627198124,0.9985345838218054,0.8112543962485346
Sign-off (End),0.001611957796014068,0.0008792497069167644,0.9975087924970691
Starts with List,0.06330597889800703,0.16178194607268465,0.8065650644783119
