style_function,response1,response2,match
ALL CAPS,0.024,0.022,0.986
Blockquotes,0.0,0.0,1.0
Bullets,1.0,0.936,0.936
Code Formatting,0.0,0.0,1.0
Emojis,0.0,0.01,0.99
Exclamations,0.0,0.002,0.998
First-Person Pronouns,0.438,0.034,0.58
Greeting (Start),0.0,0.0,1.0
Header/Title,0.0,0.0,1.0
Links,0.0,0.0,1.0
List,1.0,0.936,0.936
Long Sentences,0.668,0.582,0.65
Markdown,1.0,0.938,0.938
Math Symbols,1.0,0.938,0.938
Numbered Steps,0.006,0.0,0.994
Parentheses,0.486,0.366,0.632
Questions,0.002,0.002,0.996
Repetition,1.0,0.938,0.938
Sign-off (End),0.0,0.0,1.0
Starts with List,0.0,0.002,0.998
