style_function,response1,response2,match
ALL CAPS,0.34004024144869216,0.16498993963782696,0.7806841046277666
Blockquotes,0.0,0.0,1.0
Bullets,0.3460764587525151,0.08450704225352113,0.6579476861167002
Code Formatting,0.096579476861167,0.04627766599597585,0.9416498993963782
Emojis,0.01006036217303823,0.006036217303822937,0.9919517102615694
Exclamations,0.2857142857142857,0.20925553319919518,0.7746478873239436
First-Person Pronouns,0.32193158953722334,0.26156941649899396,0.7706237424547284
Greeting (Start),0.03420523138832998,0.02414486921529175,0.9899396378269618
Header/Title,0.33400402414486924,0.096579476861167,0.7022132796780685
Links,0.01609657947686117,0.0,0.9839034205231388
List,0.6398390342052314,0.2796780684104628,0.5513078470824949
Long Sentences,0.16498993963782696,0.09054325955734406,0.8289738430583501
Markdown,0.7364185110663984,0.3682092555331992,0.5633802816901409
Math Symbols,0.8249496981891348,0.5372233400402414,0.6519114688128773
Numbered Steps,0.028169014084507043,0.026156941649899398,0.96579476861167
Parentheses,0.4305835010060362,0.716297786720322,0.6659959758551308
Questions,0.13279678068410464,0.07645875251509054,0.9114688128772636
Repetition,0.9879275653923542,0.9778672032193159,0.9778672032193159
Sign-off (End),0.002012072434607646,0.01006036217303823,0.9879275653923542
Starts with List,0.014084507042253521,0.04627766599597585,0.9637826961770624
