style_function,response1,response2,match
ALL CAPS,0.2905811623246493,0.1903807615230461,0.779559118236473
Blockquotes,0.0,0.0,1.0
Bullets,0.03807615230460922,0.06212424849699399,0.9158316633266533
Code Formatting,0.08016032064128256,0.036072144288577156,0.9478957915831663
Emojis,0.04809619238476954,0.004008016032064128,0.9559118236472945
Exclamations,0.4749498997995992,0.13627254509018036,0.5851703406813628
First-Person Pronouns,0.42685370741482964,0.25851703406813625,0.655310621242485
Greeting (Start),0.014028056112224449,0.022044088176352707,0.9839679358717435
Header/Title,0.052104208416833664,0.08016032064128256,0.8837675350701403
Links,0.004008016032064128,0.0,0.9959919839679359
List,0.11222444889779559,0.24849699398797595,0.7234468937875751
Long Sentences,0.17635270541082165,0.156312625250501,0.7394789579158316
Markdown,0.8617234468937875,0.29458917835671344,0.4088176352705411
Math Symbols,0.9158316633266533,0.46092184368737477,0.5170340681362725
Numbered Steps,0.004008016032064128,0.06813627254509018,0.9278557114228457
Parentheses,0.22244488977955912,0.6673346693386774,0.5070140280561122
Questions,0.41282565130260523,0.0841683366733467,0.6112224448897795
Repetition,0.9859719438877755,0.9539078156312625,0.9519038076152304
Sign-off (End),0.0,0.0,1.0
Starts with List,0.002004008016032064,0.03006012024048096,0.9719438877755511
