style_function,response1,response2,match
ALL CAPS,0.39331619537275064,0.2365038560411311,0.7146529562982005
Blockquotes,0.0,0.0,1.0
Bullets,0.11568123393316196,0.06940874035989718,0.8611825192802056
Code Formatting,0.09511568123393316,0.05912596401028278,0.9485861182519281
Emojis,0.002570694087403599,0.002570694087403599,1.0
Exclamations,0.4498714652956298,0.02570694087403599,0.5604113110539846
First-Person Pronouns,0.8508997429305912,0.34190231362467866,0.44473007712082263
Greeting (Start),0.017994858611825194,0.015424164524421594,0.9717223650385605
Header/Title,0.10796915167095116,0.030848329048843187,0.897172236503856
Links,0.002570694087403599,0.0,0.9974293059125964
List,0.2982005141388175,0.3444730077120823,0.6863753213367609
Long Sentences,0.2570694087403599,0.08997429305912596,0.7300771208226221
Markdown,0.4190231362467866,0.4704370179948586,0.7223650385604113
Math Symbols,0.7043701799485861,0.622107969151671,0.7326478149100257
Numbered Steps,0.012853470437017995,0.038560411311053984,0.9537275064267352
Parentheses,0.38303341902313626,0.7480719794344473,0.5732647814910026
Questions,0.21079691516709512,0.12596401028277635,0.8329048843187661
Repetition,0.9845758354755784,0.9640102827763496,0.9640102827763496
Sign-off (End),0.007712082262210797,0.0,0.9922879177377892
Starts with List,0.4498714652956298,0.08997429305912596,0.532133676092545
