style_function,response1,response2,match
ALL CAPS,0.4036144578313253,0.1827309236947791,0.7228915662650602
Blockquotes,0.0,0.0,1.0
Bullets,0.2429718875502008,0.07630522088353414,0.7610441767068273
Code Formatting,0.09437751004016064,0.05220883534136546,0.9457831325301205
Emojis,0.010040160642570281,0.004016064257028112,0.9939759036144579
Exclamations,0.6164658634538153,0.142570281124498,0.5100401606425703
First-Person Pronouns,0.41967871485943775,0.2710843373493976,0.6987951807228916
Greeting (Start),0.09839357429718876,0.024096385542168676,0.9136546184738956
Header/Title,0.13253012048192772,0.0321285140562249,0.8674698795180723
Links,0.006024096385542169,0.0,0.9939759036144579
List,0.7168674698795181,0.28313253012048195,0.5502008032128514
Long Sentences,0.10040160642570281,0.15060240963855423,0.8132530120481928
Markdown,0.7650602409638554,0.3393574297188755,0.5461847389558233
Math Symbols,0.8333333333333334,0.5220883534136547,0.6566265060240963
Numbered Steps,0.012048192771084338,0.05622489959839357,0.9357429718875502
Parentheses,0.42570281124497994,0.6224899598393574,0.6907630522088354
Questions,0.1646586345381526,0.08835341365461848,0.8795180722891566
Repetition,0.9859437751004017,0.9437751004016064,0.9578313253012049
Sign-off (End),0.010040160642570281,0.0,0.9899598393574297
Starts with List,0.03614457831325301,0.05421686746987952,0.9497991967871486
