style_function,response1,response2,match
ALL CAPS,0.1827309236947791,0.357429718875502,0.7449799196787149
Blockquotes,0.0,0.0,1.0
Bullets,0.07630522088353414,0.3253012048192771,0.7309236947791165
Code Formatting,0.05220883534136546,0.10240963855421686,0.9417670682730924
Emojis,0.004016064257028112,0.006024096385542169,0.9979919678714859
Exclamations,0.142570281124498,0.2710843373493976,0.7951807228915663
First-Person Pronouns,0.2710843373493976,0.3795180722891566,0.7630522088353414
Greeting (Start),0.024096385542168676,0.024096385542168676,0.9799196787148594
Header/Title,0.0321285140562249,0.2469879518072289,0.7771084337349398
Links,0.0,0.012048192771084338,0.9879518072289156
List,0.28313253012048195,0.6104417670682731,0.6244979919678715
Long Sentences,0.15060240963855423,0.17269076305220885,0.821285140562249
Markdown,0.3393574297188755,0.6526104417670683,0.6345381526104418
Math Symbols,0.5220883534136547,0.7751004016064257,0.6867469879518072
Numbered Steps,0.05622489959839357,0.04819277108433735,0.9116465863453815
Parentheses,0.6224899598393574,0.5220883534136547,0.7630522088353414
Questions,0.08835341365461848,0.11244979919678715,0.9317269076305221
Repetition,0.9437751004016064,0.9799196787148594,0.9477911646586346
Sign-off (End),0.0,0.012048192771084338,0.9879518072289156
Starts with List,0.05421686746987952,0.04618473895582329,0.9558232931726908
