style_function,response1,response2,match
ALL CAPS,0.31313131313131315,0.2383838383838384,0.8080808080808081
Blockquotes,0.0,0.0,1.0
Bullets,0.09090909090909091,0.022222222222222223,0.907070707070707
Code Formatting,0.08282828282828283,0.044444444444444446,0.9494949494949495
Emojis,0.00808080808080808,0.00404040404040404,0.9959595959595959
Exclamations,0.2727272727272727,0.17373737373737375,0.7797979797979798
First-Person Pronouns,0.30303030303030304,0.3575757575757576,0.7111111111111111
Greeting (Start),0.03232323232323232,0.026262626262626262,0.9858585858585859
Header/Title,0.08686868686868687,0.006060606060606061,0.9111111111111111
Links,0.00808080808080808,0.00808080808080808,0.9919191919191919
List,0.4222222222222222,0.26666666666666666,0.7070707070707071
Long Sentences,0.301010101010101,0.2101010101010101,0.6868686868686869
Markdown,0.4888888888888889,0.16363636363636364,0.6181818181818182
Math Symbols,0.7797979797979798,0.503030303030303,0.597979797979798
Numbered Steps,0.028282828282828285,0.21616161616161617,0.7757575757575758
Parentheses,0.3474747474747475,0.593939393939394,0.6404040404040404
Questions,0.10707070707070707,0.06464646464646465,0.9333333333333333
Repetition,0.9919191919191919,0.9939393939393939,0.98989898989899
Sign-off (End),0.00202020202020202,0.00404040404040404,0.9939393939393939
Starts with List,0.022222222222222223,0.06262626262626263,0.9474747474747475
