style_function,response1,response2,match
ALL CAPS,0.2383838383838384,0.3595959595959596,0.7818181818181819
Blockquotes,0.0,0.0,1.0
Bullets,0.022222222222222223,0.32727272727272727,0.6909090909090909
Code Formatting,0.044444444444444446,0.10101010101010101,0.9393939393939394
Emojis,0.00404040404040404,0.006060606060606061,0.997979797979798
Exclamations,0.17373737373737375,0.2686868686868687,0.8121212121212121
First-Person Pronouns,0.3575757575757576,0.37777777777777777,0.7373737373737373
Greeting (Start),0.026262626262626262,0.024242424242424242,0.9939393939393939
Header/Title,0.006060606060606061,0.24848484848484848,0.7575757575757576
Links,0.00808080808080808,0.012121212121212121,0.9878787878787879
List,0.26666666666666666,0.6141414141414141,0.5878787878787879
Long Sentences,0.2101010101010101,0.1717171717171717,0.7272727272727273
Markdown,0.16363636363636364,0.6525252525252525,0.4707070707070707
Math Symbols,0.503030303030303,0.7757575757575758,0.6060606060606061
Numbered Steps,0.21616161616161617,0.048484848484848485,0.7636363636363637
Parentheses,0.593939393939394,0.5191919191919192,0.703030303030303
Questions,0.06464646464646465,0.1111111111111111,0.9252525252525252
Repetition,0.9939393939393939,0.9777777777777777,0.9757575757575757
Sign-off (End),0.00404040404040404,0.012121212121212121,0.9878787878787879
Starts with List,0.06262626262626263,0.046464646464646465,0.9393939393939394
