style_function,response1,response2,match
ALL CAPS,0.3004032258064516,0.16733870967741934,0.8225806451612904
Blockquotes,0.0020161290322580645,0.0,0.9979838709677419
Bullets,0.1975806451612903,0.0846774193548387,0.7741935483870968
Code Formatting,0.08669354838709678,0.046370967741935484,0.9435483870967742
Emojis,0.0,0.0020161290322580645,0.9979838709677419
Exclamations,0.21370967741935484,0.20766129032258066,0.8165322580645161
First-Person Pronouns,0.29838709677419356,0.26411290322580644,0.7842741935483871
Greeting (Start),0.020161290322580645,0.024193548387096774,0.9879032258064516
Header/Title,0.1935483870967742,0.0967741935483871,0.8104838709677419
Links,0.008064516129032258,0.0,0.9919354838709677
List,0.4899193548387097,0.2782258064516129,0.6149193548387096
Long Sentences,0.20766129032258066,0.0907258064516129,0.7862903225806451
Markdown,0.6169354838709677,0.3689516129032258,0.6108870967741935
Math Symbols,0.7217741935483871,0.5383064516129032,0.6350806451612904
Numbered Steps,0.010080645161290322,0.02620967741935484,0.967741935483871
Parentheses,0.3850806451612903,0.717741935483871,0.6189516129032258
Questions,0.11491935483870967,0.07661290322580645,0.9213709677419355
Repetition,0.9616935483870968,0.9778225806451613,0.967741935483871
Sign-off (End),0.0,0.010080645161290322,0.9899193548387096
Starts with List,0.028225806451612902,0.046370967741935484,0.9737903225806451
