style_function,response1,response2,match
ALL CAPS,0.16733870967741934,0.3225806451612903,0.7842741935483871
Blockquotes,0.0,0.0,1.0
Bullets,0.0846774193548387,0.2600806451612903,0.7237903225806451
Code Formatting,0.046370967741935484,0.0967741935483871,0.9375
Emojis,0.0020161290322580645,0.0,0.9979838709677419
Exclamations,0.20766129032258066,0.16330645161290322,0.8387096774193549
First-Person Pronouns,0.26411290322580644,0.3467741935483871,0.7681451612903226
Greeting (Start),0.024193548387096774,0.02217741935483871,0.9939516129032258
Header/Title,0.0967741935483871,0.21774193548387097,0.7943548387096774
Links,0.0,0.010080645161290322,0.9899193548387096
List,0.2782258064516129,0.5443548387096774,0.6330645161290323
Long Sentences,0.0907258064516129,0.2600806451612903,0.7580645161290323
Markdown,0.3689516129032258,0.5524193548387096,0.6673387096774194
Math Symbols,0.5383064516129032,0.7157258064516129,0.657258064516129
Numbered Steps,0.02620967741935484,0.1028225806451613,0.8951612903225806
Parentheses,0.717741935483871,0.4576612903225806,0.6915322580645161
Questions,0.07661290322580645,0.1028225806451613,0.9415322580645161
Repetition,0.9778225806451613,0.9576612903225806,0.9596774193548387
Sign-off (End),0.010080645161290322,0.0,0.9899193548387096
Starts with List,0.046370967741935484,0.03024193548387097,0.9717741935483871
