style_function,response1,response2,match
ALL CAPS,0.26814516129032256,0.18951612903225806,0.8205645161290323
Blockquotes,0.0,0.0,1.0
Bullets,0.1028225806451613,0.0625,0.8830645161290323
Code Formatting,0.0846774193548387,0.034274193548387094,0.9495967741935484
Emojis,0.0020161290322580645,0.0,0.9979838709677419
Exclamations,0.3629032258064516,0.1350806451612903,0.7358870967741935
First-Person Pronouns,0.42943548387096775,0.2600806451612903,0.7137096774193549
Greeting (Start),0.02620967741935484,0.02217741935483871,0.9838709677419355
Header/Title,0.056451612903225805,0.07862903225806452,0.9012096774193549
Links,0.004032258064516129,0.0,0.9959677419354839
List,0.31451612903225806,0.25,0.7338709677419355
Long Sentences,0.3810483870967742,0.15725806451612903,0.655241935483871
Markdown,0.38306451612903225,0.29435483870967744,0.75
Math Symbols,0.5887096774193549,0.4637096774193548,0.6491935483870968
Numbered Steps,0.012096774193548387,0.06854838709677419,0.9274193548387096
Parentheses,0.29435483870967744,0.6693548387096774,0.6048387096774194
Questions,0.11491935483870967,0.0846774193548387,0.9092741935483871
Repetition,0.9657258064516129,0.9576612903225806,0.9556451612903226
Sign-off (End),0.0,0.0,1.0
Starts with List,0.036290322580645164,0.03024193548387097,0.9616935483870968
