style_function,response1,response2,match
ALL CAPS,0.18951612903225806,0.32056451612903225,0.8689516129032258
Blockquotes,0.0,0.0,1.0
Bullets,0.0625,0.2600806451612903,0.8024193548387096
Code Formatting,0.034274193548387094,0.09475806451612903,0.9395161290322581
Emojis,0.0,0.0,1.0
Exclamations,0.1350806451612903,0.16330645161290322,0.9717741935483871
First-Person Pronouns,0.2600806451612903,0.3487903225806452,0.9032258064516129
Greeting (Start),0.02217741935483871,0.02217741935483871,1.0
Header/Title,0.07862903225806452,0.2157258064516129,0.8629032258064516
Links,0.0,0.010080645161290322,0.9899193548387096
List,0.25,0.5443548387096774,0.7056451612903226
Long Sentences,0.15725806451612903,0.2600806451612903,0.8770161290322581
Markdown,0.29435483870967744,0.5524193548387096,0.7419354838709677
Math Symbols,0.4637096774193548,0.7157258064516129,0.7479838709677419
Numbered Steps,0.06854838709677419,0.1028225806451613,0.9657258064516129
Parentheses,0.6693548387096774,0.4576612903225806,0.7883064516129032
Questions,0.0846774193548387,0.10483870967741936,0.9798387096774194
Repetition,0.9576612903225806,0.9576612903225806,1.0
Sign-off (End),0.0,0.0,1.0
Starts with List,0.03024193548387097,0.03024193548387097,1.0
