style_function,response1,response2,match
ALL CAPS,0.2916666666666667,0.18541666666666667,0.7979166666666667
Blockquotes,0.0,0.0,1.0
Bullets,0.1125,0.07708333333333334,0.8729166666666667
Code Formatting,0.09166666666666666,0.052083333333333336,0.9479166666666666
Emojis,0.0,0.0020833333333333333,0.9979166666666667
Exclamations,0.28541666666666665,0.14375,0.7625
First-Person Pronouns,0.2875,0.26458333333333334,0.7520833333333333
Greeting (Start),0.025,0.025,0.9791666666666666
Header/Title,0.07916666666666666,0.03333333333333333,0.9208333333333333
Links,0.00625,0.0,0.99375
List,0.42291666666666666,0.2833333333333333,0.7270833333333333
Long Sentences,0.3104166666666667,0.14791666666666667,0.7166666666666667
Markdown,0.47291666666666665,0.33958333333333335,0.7
Math Symbols,0.6666666666666666,0.525,0.6833333333333333
Numbered Steps,0.06666666666666667,0.052083333333333336,0.90625
Parentheses,0.35833333333333334,0.6166666666666667,0.6541666666666667
Questions,0.07708333333333334,0.09166666666666666,0.9229166666666667
Repetition,0.9354166666666667,0.9416666666666667,0.9270833333333334
Sign-off (End),0.0,0.0,1.0
Starts with List,0.022916666666666665,0.052083333333333336,0.9625
