style_function,response1,response2,match
ALL CAPS,0.18541666666666667,0.325,0.7895833333333333
Blockquotes,0.0,0.0,1.0
Bullets,0.07708333333333334,0.25416666666666665,0.7645833333333333
Code Formatting,0.052083333333333336,0.09375,0.95
Emojis,0.0020833333333333333,0.0020833333333333333,1.0
Exclamations,0.14375,0.16041666666666668,0.875
First-Person Pronouns,0.26458333333333334,0.3416666666666667,0.7395833333333334
Greeting (Start),0.025,0.022916666666666665,0.98125
Header/Title,0.03333333333333333,0.20625,0.8229166666666666
Links,0.0,0.010416666666666666,0.9895833333333334
List,0.2833333333333333,0.5354166666666667,0.68125
Long Sentences,0.14791666666666667,0.25833333333333336,0.7520833333333333
Markdown,0.33958333333333335,0.5395833333333333,0.6958333333333333
Math Symbols,0.525,0.7083333333333334,0.7
Numbered Steps,0.052083333333333336,0.09791666666666667,0.8708333333333333
Parentheses,0.6166666666666667,0.45416666666666666,0.7083333333333334
Questions,0.09166666666666666,0.10416666666666667,0.9291666666666667
Repetition,0.9416666666666667,0.9541666666666667,0.95
Sign-off (End),0.0,0.0,1.0
Starts with List,0.052083333333333336,0.03125,0.9583333333333334
