style_function,response1,response2,match
ALL CAPS,0.228,0.378,0.85
Blockquotes,0.0,0.0,1.0
Bullets,0.074,0.238,0.836
Code Formatting,0.054,0.108,0.946
Emojis,0.004,0.004,1.0
Exclamations,0.026,0.106,0.92
First-Person Pronouns,0.368,0.502,0.866
Greeting (Start),0.012,0.012,1.0
Header/Title,0.026,0.058,0.968
Links,0.0,0.008,0.992
List,0.332,0.574,0.758
Long Sentences,0.104,0.19,0.902
Markdown,0.468,0.644,0.824
Math Symbols,0.63,0.774,0.856
Numbered Steps,0.044,0.096,0.948
Parentheses,0.726,0.512,0.786
Questions,0.118,0.188,0.93
Repetition,0.966,0.966,1.0
Sign-off (End),0.0,0.0,1.0
Starts with List,0.088,0.088,1.0
