style_function,response1,response2,match
ALL CAPS,0.2842741935483871,0.18346774193548387,0.7983870967741935
Blockquotes,0.0,0.0,1.0
Bullets,0.06854838709677419,0.07661290322580645,0.8911290322580645
Code Formatting,0.08064516129032258,0.05040322580645161,0.9536290322580645
Emojis,0.004032258064516129,0.004032258064516129,1.0
Exclamations,0.036290322580645164,0.14112903225806453,0.8508064516129032
First-Person Pronouns,0.4495967741935484,0.2721774193548387,0.7096774193548387
Greeting (Start),0.012096774193548387,0.024193548387096774,0.9838709677419355
Header/Title,0.08064516129032258,0.03225806451612903,0.9153225806451613
Links,0.006048387096774193,0.0,0.9939516129032258
List,0.2903225806451613,0.28024193548387094,0.7479838709677419
Long Sentences,0.3487903225806452,0.15120967741935484,0.6814516129032258
Markdown,0.4778225806451613,0.33669354838709675,0.7016129032258065
Math Symbols,0.7419354838709677,0.5201612903225806,0.6612903225806451
Numbered Steps,0.014112903225806451,0.05443548387096774,0.9395161290322581
Parentheses,0.3286290322580645,0.6189516129032258,0.6008064516129032
Questions,0.14717741935483872,0.08870967741935484,0.8689516129032258
Repetition,0.9879032258064516,0.9435483870967742,0.9475806451612904
Sign-off (End),0.0020161290322580645,0.0,0.9979838709677419
Starts with List,0.046370967741935484,0.05443548387096774,0.9233870967741935
