style_function,response1,response2,match
ALL CAPS,0.2857142857142857,0.16700201207243462,0.8209255533199196
Blockquotes,0.0,0.0,1.0
Bullets,0.08048289738430583,0.08450704225352113,0.8672032193158954
Code Formatting,0.08853118712273642,0.04627766599597585,0.937625754527163
Emojis,0.004024144869215292,0.004024144869215292,0.9959758551307847
Exclamations,0.2595573440643863,0.20925553319919518,0.7525150905432596
First-Person Pronouns,0.30784708249496984,0.2655935613682093,0.772635814889336
Greeting (Start),0.030181086519114688,0.02414486921529175,0.9859154929577465
Header/Title,0.06639839034205232,0.096579476861167,0.869215291750503
Links,0.012072434607645875,0.0,0.9879275653923542
List,0.323943661971831,0.2776659959758551,0.6519114688128773
Long Sentences,0.26156941649899396,0.09054325955734406,0.7283702213279678
Markdown,0.4024144869215292,0.3702213279678068,0.6539235412474849
Math Symbols,0.6257545271629779,0.5392354124748491,0.647887323943662
Numbered Steps,0.03822937625754527,0.026156941649899398,0.9476861167002012
Parentheses,0.3460764587525151,0.716297786720322,0.6016096579476862
Questions,0.07847082494969819,0.07645875251509054,0.9537223340040242
Repetition,0.9617706237424547,0.9778672032193159,0.9678068410462777
Sign-off (End),0.004024144869215292,0.01006036217303823,0.9859154929577465
Starts with List,0.04426559356136821,0.04627766599597585,0.9496981891348089
