style_function,response1,response2,match
ALL CAPS,0.16700201207243462,0.32595573440643866,0.7806841046277666
Blockquotes,0.0,0.0,1.0
Bullets,0.08450704225352113,0.16901408450704225,0.8189134808853119
Code Formatting,0.04627766599597585,0.1006036217303823,0.9336016096579477
Emojis,0.004024144869215292,0.002012072434607646,0.9979879275653923
Exclamations,0.20925553319919518,0.18108651911468812,0.8108651911468813
First-Person Pronouns,0.2655935613682093,0.3641851106639839,0.7565392354124748
Greeting (Start),0.02414486921529175,0.02414486921529175,0.9798792756539235
Header/Title,0.096579476861167,0.0744466800804829,0.869215291750503
Links,0.0,0.01006036217303823,0.9899396378269618
List,0.2776659959758551,0.4768611670020121,0.6197183098591549
Long Sentences,0.09054325955734406,0.21327967806841047,0.8088531187122736
Markdown,0.3702213279678068,0.5050301810865191,0.6800804828973843
Math Symbols,0.5392354124748491,0.6680080482897385,0.6740442655935613
Numbered Steps,0.026156941649899398,0.10261569416498995,0.8873239436619719
Parentheses,0.716297786720322,0.4708249496981891,0.6901408450704225
Questions,0.07645875251509054,0.10865191146881288,0.9476861167002012
Repetition,0.9778672032193159,0.9476861167002012,0.9496981891348089
Sign-off (End),0.01006036217303823,0.002012072434607646,0.9879275653923542
Starts with List,0.04627766599597585,0.05432595573440644,0.9557344064386318
