style_function,response1,response2,match
ALL CAPS,0.3346774193548387,0.19153225806451613,0.7681451612903226
Blockquotes,0.0,0.0,1.0
Bullets,0.09274193548387097,0.0625,0.8850806451612904
Code Formatting,0.08870967741935484,0.036290322580645164,0.9395161290322581
Emojis,0.010080645161290322,0.0020161290322580645,0.9919354838709677
Exclamations,0.3346774193548387,0.13709677419354838,0.75
First-Person Pronouns,0.3810483870967742,0.25806451612903225,0.719758064516129
Greeting (Start),0.05241935483870968,0.02217741935483871,0.9616935483870968
Header/Title,0.06854838709677419,0.08064516129032258,0.9032258064516129
Links,0.012096774193548387,0.0,0.9879032258064516
List,0.35080645161290325,0.25,0.7217741935483871
Long Sentences,0.24596774193548387,0.15524193548387097,0.7399193548387096
Markdown,0.39919354838709675,0.2963709677419355,0.7116935483870968
Math Symbols,0.6310483870967742,0.46169354838709675,0.6330645161290323
Numbered Steps,0.07661290322580645,0.06854838709677419,0.8790322580645161
Parentheses,0.375,0.6693548387096774,0.657258064516129
Questions,0.09475806451612903,0.0846774193548387,0.9334677419354839
Repetition,0.9657258064516129,0.9556451612903226,0.9657258064516129
Sign-off (End),0.004032258064516129,0.0,0.9959677419354839
Starts with List,0.04032258064516129,0.028225806451612902,0.967741935483871
