style_function,response1,response2,match
ALL CAPS,0.29292929292929293,0.22424242424242424,0.7898989898989899
Blockquotes,0.0,0.0,1.0
Bullets,0.06464646464646465,0.07272727272727272,0.8949494949494949
Code Formatting,0.08484848484848485,0.052525252525252523,0.9636363636363636
Emojis,0.010101010101010102,0.00202020202020202,0.9919191919191919
Exclamations,0.27070707070707073,0.024242424242424242,0.7252525252525253
First-Person Pronouns,0.397979797979798,0.3656565656565657,0.7333333333333333
Greeting (Start),0.026262626262626262,0.012121212121212121,0.9777777777777777
Header/Title,0.028282828282828285,0.026262626262626262,0.9656565656565657
Links,0.006060606060606061,0.0,0.9939393939393939
List,0.33131313131313134,0.3333333333333333,0.6787878787878788
Long Sentences,0.24444444444444444,0.10303030303030303,0.7131313131313132
Markdown,0.36767676767676766,0.4666666666666667,0.6909090909090909
Math Symbols,0.6141414141414141,0.6303030303030303,0.7252525252525253
Numbered Steps,0.08080808080808081,0.044444444444444446,0.8949494949494949
Parentheses,0.3111111111111111,0.7252525252525253,0.5494949494949495
Questions,0.09898989898989899,0.11717171717171718,0.9131313131313131
Repetition,0.9696969696969697,0.9656565656565657,0.9515151515151515
Sign-off (End),0.00202020202020202,0.0,0.997979797979798
Starts with List,0.06262626262626263,0.08888888888888889,0.8808080808080808
