style_function,response1,response2,match
ALL CAPS,0.3081632653061224,0.1836734693877551,0.789795918367347
Blockquotes,0.0,0.0,1.0
Bullets,0.0653061224489796,0.07755102040816327,0.9061224489795918
Code Formatting,0.07755102040816327,0.05102040816326531,0.9571428571428572
Emojis,0.006122448979591836,0.004081632653061225,0.9979591836734694
Exclamations,0.28775510204081634,0.14081632653061224,0.7795918367346939
First-Person Pronouns,0.3673469387755102,0.2714285714285714,0.7775510204081633
Greeting (Start),0.04081632653061224,0.024489795918367346,0.9755102040816327
Header/Title,0.03469387755102041,0.0326530612244898,0.9571428571428572
Links,0.00816326530612245,0.0,0.9918367346938776
List,0.3346938775510204,0.2836734693877551,0.7653061224489796
Long Sentences,0.2510204081632653,0.1510204081632653,0.7326530612244898
Markdown,0.3163265306122449,0.33877551020408164,0.7408163265306122
Math Symbols,0.6163265306122448,0.5244897959183673,0.7244897959183674
Numbered Steps,0.14081632653061224,0.053061224489795916,0.8673469387755102
Parentheses,0.33877551020408164,0.6183673469387755,0.6795918367346939
Questions,0.11020408163265306,0.08979591836734693,0.9142857142857143
Repetition,0.9530612244897959,0.9428571428571428,0.9530612244897959
Sign-off (End),0.0020408163265306124,0.0,0.9979591836734694
Starts with List,0.0653061224489796,0.053061224489795916,0.9346938775510204
