style_function,response1,response2,match
ALL CAPS,0.1836734693877551,0.32448979591836735,0.8591836734693877
Blockquotes,0.0,0.0,1.0
Bullets,0.07755102040816327,0.16326530612244897,0.9142857142857143
Code Formatting,0.05102040816326531,0.09795918367346938,0.9530612244897959
Emojis,0.004081632653061225,0.004081632653061225,1.0
Exclamations,0.14081632653061224,0.17755102040816326,0.963265306122449
First-Person Pronouns,0.2714285714285714,0.363265306122449,0.9040816326530612
Greeting (Start),0.024489795918367346,0.024489795918367346,1.0
Header/Title,0.0326530612244898,0.07142857142857142,0.9612244897959183
Links,0.0,0.01020408163265306,0.9897959183673469
List,0.2836734693877551,0.46938775510204084,0.8142857142857143
Long Sentences,0.1510204081632653,0.2163265306122449,0.9306122448979591
Markdown,0.33877551020408164,0.49795918367346936,0.8408163265306122
Math Symbols,0.5244897959183673,0.6653061224489796,0.8591836734693877
Numbered Steps,0.053061224489795916,0.09591836734693877,0.9571428571428572
Parentheses,0.6183673469387755,0.46938775510204084,0.8510204081632653
Questions,0.08979591836734693,0.11020408163265306,0.9795918367346939
Repetition,0.9428571428571428,0.9469387755102041,0.9959183673469387
Sign-off (End),0.0,0.0020408163265306124,0.9979591836734694
Starts with List,0.053061224489795916,0.053061224489795916,1.0
