style_function,response1,response2,match
ALL CAPS,0.29515418502202645,0.24008810572687225,0.7687224669603524
Blockquotes,0.0,0.0,1.0
Bullets,0.037444933920704845,0.019823788546255508,0.960352422907489
Code Formatting,0.07929515418502203,0.046255506607929514,0.9449339207048458
Emojis,0.006607929515418502,0.004405286343612335,0.9977973568281938
Exclamations,0.2488986784140969,0.18061674008810572,0.7819383259911894
First-Person Pronouns,0.3700440528634361,0.34801762114537443,0.7400881057268722
Greeting (Start),0.01762114537444934,0.028634361233480177,0.9845814977973568
Header/Title,0.04185022026431718,0.006607929515418502,0.9647577092511013
Links,0.004405286343612335,0.004405286343612335,0.9911894273127754
List,0.2422907488986784,0.2643171806167401,0.8105726872246696
Long Sentences,0.3436123348017621,0.21365638766519823,0.7158590308370044
Markdown,0.2621145374449339,0.15638766519823788,0.7841409691629956
Math Symbols,0.5748898678414097,0.5,0.6299559471365639
Numbered Steps,0.09691629955947137,0.21365638766519823,0.7819383259911894
Parentheses,0.27973568281938327,0.5881057268722467,0.6343612334801763
Questions,0.0947136563876652,0.07048458149779736,0.9361233480176211
Repetition,0.9581497797356828,0.9933920704845814,0.9647577092511013
Sign-off (End),0.006607929515418502,0.004405286343612335,0.9889867841409692
Starts with List,0.07709251101321586,0.05947136563876652,0.920704845814978
