style_function,response1,response2,match
ALL CAPS,0.24008810572687225,0.32819383259911894,0.7841409691629956
Blockquotes,0.0,0.0,1.0
Bullets,0.019823788546255508,0.15418502202643172,0.8524229074889867
Code Formatting,0.046255506607929514,0.09691629955947137,0.9405286343612335
Emojis,0.004405286343612335,0.004405286343612335,1.0
Exclamations,0.18061674008810572,0.17400881057268722,0.8303964757709251
First-Person Pronouns,0.34801762114537443,0.35462555066079293,0.724669603524229
Greeting (Start),0.028634361233480177,0.02643171806167401,0.9801762114537445
Header/Title,0.006607929515418502,0.07268722466960352,0.933920704845815
Links,0.004405286343612335,0.006607929515418502,0.9933920704845814
List,0.2643171806167401,0.460352422907489,0.7202643171806168
Long Sentences,0.21365638766519823,0.21145374449339208,0.7158590308370044
Markdown,0.15638766519823788,0.4933920704845815,0.6189427312775331
Math Symbols,0.5,0.6629955947136564,0.6563876651982379
Numbered Steps,0.21365638766519823,0.0881057268722467,0.7775330396475771
Parentheses,0.5881057268722467,0.46916299559471364,0.73568281938326
Questions,0.07048458149779736,0.11233480176211454,0.9229074889867841
Repetition,0.9933920704845814,0.9449339207048458,0.947136563876652
Sign-off (End),0.004405286343612335,0.0022026431718061676,0.9933920704845814
Starts with List,0.05947136563876652,0.05066079295154185,0.9427312775330396
