style_function,response1,response2,match
ALL CAPS,0.3319919517102616,0.16700201207243462,0.778672032193159
Blockquotes,0.002012072434607646,0.0,0.9979879275653923
Bullets,0.030181086519114688,0.08450704225352113,0.9054325955734407
Code Formatting,0.08651911468812877,0.04426559356136821,0.9416498993963782
Emojis,0.008048289738430584,0.006036217303822937,0.9979879275653923
Exclamations,0.22535211267605634,0.20925553319919518,0.8108651911468813
First-Person Pronouns,0.5030181086519114,0.2635814889336016,0.6438631790744467
Greeting (Start),0.03420523138832998,0.02414486921529175,0.9899396378269618
Header/Title,0.02012072434607646,0.096579476861167,0.8832997987927566
Links,0.012072434607645875,0.0,0.9879275653923542
List,0.36217303822937624,0.2796780684104628,0.6921529175050302
Long Sentences,0.36619718309859156,0.09054325955734406,0.647887323943662
Markdown,0.4305835010060362,0.3682092555331992,0.6559356136820925
Math Symbols,0.716297786720322,0.5372233400402414,0.635814889336016
Numbered Steps,0.08450704225352113,0.026156941649899398,0.9134808853118712
Parentheses,0.4164989939637827,0.716297786720322,0.5955734406438632
Questions,0.05835010060362173,0.07645875251509054,0.9456740442655935
Repetition,0.993963782696177,0.9778672032193159,0.9798792756539235
Sign-off (End),0.006036217303822937,0.01006036217303823,0.9839034205231388
Starts with List,0.022132796780684104,0.04627766599597585,0.9557344064386318
