style_function,response1,response2,match
ALL CAPS,0.18309859154929578,0.33601609657947684,0.7706237424547284
Blockquotes,0.0,0.002012072434607646,0.9979879275653923
Bullets,0.07645875251509054,0.03621730382293763,0.9154929577464789
Code Formatting,0.05030181086519115,0.09054325955734406,0.9476861167002012
Emojis,0.004024144869215292,0.006036217303822937,0.9979879275653923
Exclamations,0.14084507042253522,0.21327967806841047,0.8350100603621731
First-Person Pronouns,0.2716297786720322,0.41448692152917505,0.7122736418511066
Greeting (Start),0.02414486921529175,0.026156941649899398,0.9818913480885312
Header/Title,0.03219315895372234,0.02414486921529175,0.9517102615694165
Links,0.0,0.01609657947686117,0.9839034205231388
List,0.28169014084507044,0.3641851106639839,0.7605633802816901
Long Sentences,0.15090543259557343,0.2575452716297787,0.7082494969818913
Markdown,0.3380281690140845,0.23943661971830985,0.7283702213279678
Math Symbols,0.5211267605633803,0.647887323943662,0.6438631790744467
Numbered Steps,0.05432595573440644,0.2977867203219316,0.7283702213279678
Parentheses,0.6197183098591549,0.4426559356136821,0.710261569416499
Questions,0.08853118712273642,0.08048289738430583,0.9235412474849095
Repetition,0.9436619718309859,0.993963782696177,0.9456740442655935
Sign-off (End),0.0,0.004024144869215292,0.9959758551307847
Starts with List,0.05432595573440644,0.06237424547283702,0.9356136820925554
