style_function,response1,response2,match
ALL CAPS,0.2745490981963928,0.23647294589178355,0.8336673346693386
Blockquotes,0.0,0.0,1.0
Bullets,0.022044088176352707,0.022044088176352707,0.9679358717434869
Code Formatting,0.0841683366733467,0.04408817635270541,0.9519038076152304
Emojis,0.006012024048096192,0.004008016032064128,0.9979959919839679
Exclamations,0.11623246492985972,0.1743486973947896,0.8577154308617234
First-Person Pronouns,0.4148296593186373,0.36072144288577157,0.7014028056112225
Greeting (Start),0.028056112224448898,0.026052104208416832,0.9939879759519038
Header/Title,0.02004008016032064,0.006012024048096192,0.9819639278557114
Links,0.008016032064128256,0.008016032064128256,0.9879759519038076
List,0.24849699398797595,0.2685370741482966,0.8076152304609219
Long Sentences,0.3927855711422846,0.20841683366733466,0.687374749498998
Markdown,0.20841683366733466,0.1623246492985972,0.8496993987975952
Math Symbols,0.6312625250501002,0.49899799599198397,0.6673346693386774
Numbered Steps,0.2124248496993988,0.218436873747495,0.8096192384769539
Parentheses,0.3406813627254509,0.5971943887775552,0.6312625250501002
Questions,0.06212424849699399,0.06412825651302605,0.969939879759519
Repetition,0.9879759519038076,0.9939879759519038,0.9899799599198397
Sign-off (End),0.0,0.004008016032064128,0.9959919839679359
Starts with List,0.04008016032064128,0.06212424849699399,0.9418837675350702
