style_function,response1,response2,match
ALL CAPS,0.23647294589178355,0.3366733466933868,0.8997995991983968
Blockquotes,0.0,0.002004008016032064,0.9979959919839679
Bullets,0.022044088176352707,0.03807615230460922,0.9839679358717435
Code Formatting,0.04408817635270541,0.09218436873747494,0.9519038076152304
Emojis,0.004008016032064128,0.006012024048096192,0.9979959919839679
Exclamations,0.1743486973947896,0.21442885771543085,0.9599198396793587
First-Person Pronouns,0.36072144288577157,0.4168336673346693,0.9318637274549099
Greeting (Start),0.026052104208416832,0.026052104208416832,1.0
Header/Title,0.006012024048096192,0.02404809619238477,0.9819639278557114
Links,0.008016032064128256,0.01603206412825651,0.9919839679358717
List,0.2685370741482966,0.36472945891783565,0.9038076152304609
Long Sentences,0.20841683366733466,0.25851703406813625,0.9298597194388778
Markdown,0.1623246492985972,0.24248496993987975,0.9198396793587175
Math Symbols,0.49899799599198397,0.6492985971943888,0.8496993987975952
Numbered Steps,0.218436873747495,0.2985971943887776,0.9198396793587175
Parentheses,0.5971943887775552,0.44488977955911824,0.8476953907815631
Questions,0.06412825651302605,0.08016032064128256,0.9839679358717435
Repetition,0.9939879759519038,0.9939879759519038,1.0
Sign-off (End),0.004008016032064128,0.004008016032064128,1.0
Starts with List,0.06212424849699399,0.06212424849699399,1.0
