style_function,response1,response2,match
ALL CAPS,0.3460764587525151,0.16700201207243462,0.7766599597585513
Blockquotes,0.0,0.0,1.0
Bullets,0.3963782696177062,0.08450704225352113,0.6237424547283702
Code Formatting,0.096579476861167,0.04627766599597585,0.9336016096579477
Emojis,0.02012072434607646,0.006036217303822937,0.9818913480885312
Exclamations,0.48490945674044267,0.2112676056338028,0.6177062374245473
First-Person Pronouns,0.36217303822937624,0.2655935613682093,0.738430583501006
Greeting (Start),0.04426559356136821,0.02414486921529175,0.9758551307847082
Header/Title,0.289738430583501,0.096579476861167,0.7142857142857143
Links,0.012072434607645875,0.0,0.9879275653923542
List,0.6780684104627767,0.2796780684104628,0.5251509054325956
Long Sentences,0.11066398390342053,0.09054325955734406,0.8591549295774648
Markdown,0.7967806841046278,0.3702213279678068,0.5331991951710262
Math Symbols,0.8611670020120724,0.5372233400402414,0.6156941649899397
Numbered Steps,0.022132796780684104,0.026156941649899398,0.9637826961770624
Parentheses,0.41851106639839036,0.716297786720322,0.6458752515090543
Questions,0.1750503018108652,0.07645875251509054,0.8772635814889336
Repetition,0.9818913480885312,0.9778672032193159,0.971830985915493
Sign-off (End),0.004024144869215292,0.01006036217303823,0.9899396378269618
Starts with List,0.018108651911468814,0.04627766599597585,0.959758551307847
