style_function,response1,response2,match
ALL CAPS,0.16700201207243462,0.358148893360161,0.8088531187122736
Blockquotes,0.0,0.0,1.0
Bullets,0.08450704225352113,0.32595573440643866,0.7585513078470825
Code Formatting,0.04627766599597585,0.10261569416498995,0.9436619718309859
Emojis,0.006036217303822937,0.006036217303822937,1.0
Exclamations,0.2112676056338028,0.2716297786720322,0.9396378269617707
First-Person Pronouns,0.2655935613682093,0.3782696177062374,0.8832997987927566
Greeting (Start),0.02414486921529175,0.02414486921529175,1.0
Header/Title,0.096579476861167,0.24748490945674045,0.8490945674044266
Links,0.0,0.012072434607645875,0.9879275653923542
List,0.2796780684104628,0.607645875251509,0.6720321931589537
Long Sentences,0.09054325955734406,0.17303822937625754,0.9094567404426559
Markdown,0.3702213279678068,0.6498993963782697,0.7203219315895373
Math Symbols,0.5372233400402414,0.772635814889336,0.7645875251509054
Numbered Steps,0.026156941649899398,0.0482897384305835,0.9778672032193159
Parentheses,0.716297786720322,0.5191146881287726,0.8028169014084507
Questions,0.07645875251509054,0.11267605633802817,0.9637826961770624
Repetition,0.9778672032193159,0.9778672032193159,1.0
Sign-off (End),0.01006036217303823,0.012072434607645875,0.9979879275653923
Starts with List,0.04627766599597585,0.04627766599597585,1.0
