style_function,response1,response2,match
ALL CAPS,0.19114688128772636,0.3561368209255533,0.7585513078470825
Blockquotes,0.0,0.0,1.0
Bullets,0.06237424547283702,0.323943661971831,0.6981891348088531
Code Formatting,0.03621730382293763,0.1006036217303823,0.93158953722334
Emojis,0.004024144869215292,0.006036217303822937,0.9979879275653923
Exclamations,0.13682092555331993,0.26961770623742454,0.8148893360160966
First-Person Pronouns,0.2575452716297787,0.3782696177062374,0.7424547283702213
Greeting (Start),0.022132796780684104,0.02414486921529175,0.993963782696177
Header/Title,0.07847082494969819,0.24748490945674045,0.8028169014084507
Links,0.0,0.01006036217303823,0.9899396378269618
List,0.24949698189134809,0.607645875251509,0.5694164989939637
Long Sentences,0.15694164989939638,0.17303822937625754,0.7907444668008048
Markdown,0.2937625754527163,0.6498993963782697,0.5714285714285714
Math Symbols,0.4607645875251509,0.772635814889336,0.5955734406438632
Numbered Steps,0.06841046277665996,0.04627766599597585,0.9134808853118712
Parentheses,0.6659959758551308,0.5191146881287726,0.7525150905432596
Questions,0.08450704225352113,0.11267605633802817,0.9275653923541247
Repetition,0.9537223340040242,0.9778672032193159,0.9557344064386318
Sign-off (End),0.0,0.012072434607645875,0.9879275653923542
Starts with List,0.030181086519114688,0.04627766599597585,0.971830985915493
