style_function,response1,response2,match
ALL CAPS,0.36122448979591837,0.22857142857142856,0.7408163265306122
Blockquotes,0.0,0.0,1.0
Bullets,0.3326530612244898,0.06938775510204082,0.6918367346938775
Code Formatting,0.10204081632653061,0.05510204081632653,0.9448979591836735
Emojis,0.014285714285714285,0.004081632653061225,0.9897959183673469
Exclamations,0.28775510204081634,0.026530612244897958,0.7142857142857143
First-Person Pronouns,0.47959183673469385,0.3653061224489796,0.6408163265306123
Greeting (Start),0.04081632653061224,0.012244897959183673,0.9673469387755103
Header/Title,0.19387755102040816,0.026530612244897958,0.8204081632653061
Links,0.00816326530612245,0.0,0.9918367346938776
List,0.6122448979591837,0.3306122448979592,0.6163265306122448
Long Sentences,0.1816326530612245,0.1,0.7836734693877551
Markdown,0.7714285714285715,0.4673469387755102,0.6142857142857143
Math Symbols,0.8653061224489796,0.6326530612244898,0.7183673469387755
Numbered Steps,0.018367346938775512,0.044897959183673466,0.9489795918367347
Parentheses,0.45510204081632655,0.7306122448979592,0.6183673469387755
Questions,0.20612244897959184,0.12040816326530612,0.8285714285714286
Repetition,0.9897959183673469,0.9673469387755103,0.9693877551020408
Sign-off (End),0.0020408163265306124,0.0,0.9979591836734694
Starts with List,0.030612244897959183,0.08571428571428572,0.8918367346938776
