style_function,response1,response2,match
ALL CAPS,0.34475806451612906,0.18346774193548387,0.75
Blockquotes,0.0,0.0,1.0
Bullets,0.2923387096774194,0.07661290322580645,0.7439516129032258
Code Formatting,0.10080645161290322,0.05241935483870968,0.9475806451612904
Emojis,0.006048387096774193,0.004032258064516129,0.9979838709677419
Exclamations,0.4435483870967742,0.1431451612903226,0.6310483870967742
First-Person Pronouns,0.3790322580645161,0.2701612903225806,0.7056451612903226
Greeting (Start),0.06653225806451613,0.024193548387096774,0.9375
Header/Title,0.17943548387096775,0.03225806451612903,0.8165322580645161
Links,0.012096774193548387,0.0,0.9879032258064516
List,0.6068548387096774,0.2782258064516129,0.594758064516129
Long Sentences,0.1814516129032258,0.14919354838709678,0.7741935483870968
Markdown,0.7076612903225806,0.33669354838709675,0.5806451612903226
Math Symbols,0.8004032258064516,0.5201612903225806,0.6391129032258065
Numbered Steps,0.02217741935483871,0.056451612903225805,0.9254032258064516
Parentheses,0.39919354838709675,0.6209677419354839,0.6653225806451613
Questions,0.16733870967741934,0.08870967741935484,0.8649193548387096
Repetition,0.9798387096774194,0.9435483870967742,0.9556451612903226
Sign-off (End),0.0,0.0,1.0
Starts with List,0.018145161290322582,0.05443548387096774,0.9475806451612904
