style_function,response1,response2,match
ALL CAPS,0.18346774193548387,0.35685483870967744,0.7459677419354839
Blockquotes,0.0,0.0,1.0
Bullets,0.07661290322580645,0.3245967741935484,0.7318548387096774
Code Formatting,0.05241935483870968,0.1028225806451613,0.9415322580645161
Emojis,0.004032258064516129,0.006048387096774193,0.9979838709677419
Exclamations,0.1431451612903226,0.2701612903225806,0.7963709677419355
First-Person Pronouns,0.2701612903225806,0.3810483870967742,0.7600806451612904
Greeting (Start),0.024193548387096774,0.024193548387096774,0.9798387096774194
Header/Title,0.03225806451612903,0.24798387096774194,0.7762096774193549
Links,0.0,0.012096774193548387,0.9879032258064516
List,0.2782258064516129,0.6068548387096774,0.6229838709677419
Long Sentences,0.14919354838709678,0.17338709677419356,0.8225806451612904
Markdown,0.33669354838709675,0.6491935483870968,0.6350806451612904
Math Symbols,0.5201612903225806,0.7721774193548387,0.6875
Numbered Steps,0.056451612903225805,0.04838709677419355,0.9112903225806451
Parentheses,0.6209677419354839,0.5221774193548387,0.7641129032258065
Questions,0.08870967741935484,0.11088709677419355,0.9334677419354839
Repetition,0.9435483870967742,0.9778225806451613,0.9455645161290323
Sign-off (End),0.0,0.012096774193548387,0.9879032258064516
Starts with List,0.05443548387096774,0.046370967741935484,0.9556451612903226
