style_function,response1,response2,match
ALL CAPS,0.3150406504065041,0.16869918699186992,0.7926829268292683
Blockquotes,0.0,0.0,1.0
Bullets,0.1483739837398374,0.08536585365853659,0.8353658536585366
Code Formatting,0.09552845528455285,0.044715447154471545,0.9410569105691057
Emojis,0.006097560975609756,0.0040650406504065045,0.9939024390243902
Exclamations,0.34552845528455284,0.2073170731707317,0.6707317073170732
First-Person Pronouns,0.30284552845528456,0.26422764227642276,0.758130081300813
Greeting (Start),0.034552845528455285,0.024390243902439025,0.9776422764227642
Header/Title,0.1443089430894309,0.0975609756097561,0.8394308943089431
Links,0.0040650406504065045,0.0,0.9959349593495935
List,0.3882113821138211,0.2784552845528455,0.6626016260162602
Long Sentences,0.2764227642276423,0.09146341463414634,0.717479674796748
Markdown,0.5142276422764228,0.3699186991869919,0.6524390243902439
Math Symbols,0.6646341463414634,0.540650406504065,0.6524390243902439
Numbered Steps,0.024390243902439025,0.024390243902439025,0.9715447154471545
Parentheses,0.3556910569105691,0.7154471544715447,0.6158536585365854
Questions,0.0975609756097561,0.07520325203252033,0.9410569105691057
Repetition,0.9471544715447154,0.9776422764227642,0.9451219512195121
Sign-off (End),0.0040650406504065045,0.01016260162601626,0.9857723577235772
Starts with List,0.008130081300813009,0.046747967479674794,0.9613821138211383
