style_function,response1,response2,match
ALL CAPS,0.16869918699186992,0.3252032520325203,0.782520325203252
Blockquotes,0.0,0.0,1.0
Bullets,0.08536585365853659,0.26422764227642276,0.7195121951219512
Code Formatting,0.044715447154471545,0.09552845528455285,0.9369918699186992
Emojis,0.0040650406504065045,0.0020325203252032522,0.9979674796747967
Exclamations,0.2073170731707317,0.16260162601626016,0.8373983739837398
First-Person Pronouns,0.26422764227642276,0.34552845528455284,0.7682926829268293
Greeting (Start),0.024390243902439025,0.022357723577235773,0.9939024390243902
Header/Title,0.0975609756097561,0.21747967479674796,0.7947154471544715
Links,0.0,0.01016260162601626,0.9898373983739838
List,0.2784552845528455,0.5426829268292683,0.6341463414634146
Long Sentences,0.09146341463414634,0.2601626016260163,0.758130081300813
Markdown,0.3699186991869919,0.5528455284552846,0.6707317073170732
Math Symbols,0.540650406504065,0.7154471544715447,0.6626016260162602
Numbered Steps,0.024390243902439025,0.1016260162601626,0.8983739837398373
Parentheses,0.7154471544715447,0.45528455284552843,0.6910569105691057
Questions,0.07520325203252033,0.10365853658536585,0.9390243902439024
Repetition,0.9776422764227642,0.9552845528455285,0.9573170731707317
Sign-off (End),0.01016260162601626,0.0,0.9898373983739838
Starts with List,0.046747967479674794,0.03048780487804878,0.9715447154471545
