style_function,response1,response2,match
ALL CAPS,0.2836734693877551,0.1836734693877551,0.8061224489795918
Blockquotes,0.0,0.0,1.0
Bullets,0.11020408163265306,0.07551020408163266,0.8673469387755102
Code Formatting,0.08775510204081632,0.05102040816326531,0.9510204081632653
Emojis,0.004081632653061225,0.004081632653061225,0.9959183673469387
Exclamations,0.24489795918367346,0.14285714285714285,0.7918367346938775
First-Person Pronouns,0.2836734693877551,0.2714285714285714,0.7795918367346939
Greeting (Start),0.03469387755102041,0.024489795918367346,0.9693877551020408
Header/Title,0.0836734693877551,0.0326530612244898,0.9204081632653062
Links,0.00816326530612245,0.0,0.9918367346938776
List,0.3346938775510204,0.2816326530612245,0.7510204081632653
Long Sentences,0.33877551020408164,0.1489795918367347,0.6959183673469388
Markdown,0.42244897959183675,0.336734693877551,0.7183673469387755
Math Symbols,0.6428571428571429,0.5204081632653061,0.689795918367347
Numbered Steps,0.022448979591836733,0.05714285714285714,0.936734693877551
Parentheses,0.336734693877551,0.6224489795918368,0.636734693877551
Questions,0.09387755102040816,0.08979591836734693,0.9306122448979591
Repetition,0.9306122448979591,0.9428571428571428,0.9102040816326531
Sign-off (End),0.004081632653061225,0.0,0.9959183673469387
Starts with List,0.02857142857142857,0.05510204081632653,0.9489795918367347
