style_function,response1,response2,match
ALL CAPS,0.1836734693877551,0.3224489795918367,0.7918367346938775
Blockquotes,0.0,0.0,1.0
Bullets,0.07551020408163266,0.26326530612244897,0.7551020408163265
Code Formatting,0.05102040816326531,0.09591836734693877,0.9469387755102041
Emojis,0.004081632653061225,0.004081632653061225,1.0
Exclamations,0.14285714285714285,0.16326530612244897,0.8734693877551021
First-Person Pronouns,0.2714285714285714,0.3489795918367347,0.7387755102040816
Greeting (Start),0.024489795918367346,0.022448979591836733,0.9816326530612245
Header/Title,0.0326530612244898,0.2163265306122449,0.8122448979591836
Links,0.0,0.01020408163265306,0.9897959183673469
List,0.2816326530612245,0.5387755102040817,0.6816326530612244
Long Sentences,0.1489795918367347,0.25918367346938775,0.746938775510204
Markdown,0.336734693877551,0.5469387755102041,0.6918367346938775
Math Symbols,0.5204081632653061,0.710204081632653,0.6918367346938775
Numbered Steps,0.05714285714285714,0.10408163265306122,0.8673469387755102
Parentheses,0.6224489795918368,0.45510204081632655,0.710204081632653
Questions,0.08979591836734693,0.10408163265306122,0.9285714285714286
Repetition,0.9428571428571428,0.9530612244897959,0.9489795918367347
Sign-off (End),0.0,0.0,1.0
Starts with List,0.05510204081632653,0.030612244897959183,0.9551020408163265
