style_function,response1,response2,match
ALL CAPS,0.2717391304347826,0.23043478260869565,0.8195652173913044
Blockquotes,0.0,0.0,1.0
Bullets,0.05652173913043478,0.021739130434782608,0.9391304347826087
Code Formatting,0.07608695652173914,0.043478260869565216,0.9543478260869566
Emojis,0.002173913043478261,0.002173913043478261,1.0
Exclamations,0.18478260869565216,0.17391304347826086,0.8369565217391305
First-Person Pronouns,0.2826086956521739,0.3521739130434783,0.7086956521739131
Greeting (Start),0.02608695652173913,0.02391304347826087,0.9891304347826086
Header/Title,0.08043478260869565,0.006521739130434782,0.9260869565217391
Links,0.004347826086956522,0.006521739130434782,0.9934782608695653
List,0.29347826086956524,0.27391304347826084,0.7804347826086957
Long Sentences,0.391304347826087,0.2108695652173913,0.6152173913043478
Markdown,0.3652173913043478,0.1608695652173913,0.717391304347826
Math Symbols,0.591304347826087,0.5043478260869565,0.5956521739130435
Numbered Steps,0.034782608695652174,0.22391304347826088,0.7673913043478261
Parentheses,0.3282608695652174,0.5934782608695652,0.6521739130434783
Questions,0.08260869565217391,0.06086956521739131,0.9347826086956522
Repetition,0.9391304347826087,0.9934782608695653,0.9456521739130435
Sign-off (End),0.002173913043478261,0.004347826086956522,0.9934782608695653
Starts with List,0.0391304347826087,0.06304347826086956,0.9369565217391305
