style_function,response1,response2,match
ALL CAPS,0.23043478260869565,0.31521739130434784,0.8065217391304348
Blockquotes,0.0,0.0,1.0
Bullets,0.021739130434782608,0.25869565217391305,0.75
Code Formatting,0.043478260869565216,0.09347826086956522,0.941304347826087
Emojis,0.002173913043478261,0.002173913043478261,1.0
Exclamations,0.17391304347826086,0.1565217391304348,0.8434782608695652
First-Person Pronouns,0.3521739130434783,0.34347826086956523,0.7347826086956522
Greeting (Start),0.02391304347826087,0.01956521739130435,0.991304347826087
Header/Title,0.006521739130434782,0.21304347826086956,0.7934782608695652
Links,0.006521739130434782,0.008695652173913044,0.9891304347826086
List,0.27391304347826084,0.55,0.6369565217391304
Long Sentences,0.2108695652173913,0.2608695652173913,0.7195652173913043
Markdown,0.1608695652173913,0.5543478260869565,0.5543478260869565
Math Symbols,0.5043478260869565,0.7195652173913043,0.6195652173913043
Numbered Steps,0.22391304347826088,0.10434782608695652,0.75
Parentheses,0.5934782608695652,0.44782608695652176,0.6760869565217391
Questions,0.06086956521739131,0.10434782608695652,0.9217391304347826
Repetition,0.9934782608695653,0.9543478260869566,0.9608695652173913
Sign-off (End),0.004347826086956522,0.0,0.9956521739130435
Starts with List,0.06304347826086956,0.02826086956521739,0.9434782608695652
