style_function,response1,response2,match
ALL CAPS,0.32040816326530613,0.1673469387755102,0.7693877551020408
Blockquotes,0.0020408163265306124,0.0,0.9979591836734694
Bullets,0.23469387755102042,0.07959183673469387,0.7346938775510204
Code Formatting,0.0836734693877551,0.04693877551020408,0.9428571428571428
Emojis,0.004081632653061225,0.006122448979591836,0.9979591836734694
Exclamations,0.04897959183673469,0.20612244897959184,0.789795918367347
First-Person Pronouns,0.4204081632653061,0.2673469387755102,0.6673469387755102
Greeting (Start),0.00816326530612245,0.022448979591836733,0.9816326530612245
Header/Title,0.39591836734693875,0.09183673469387756,0.6387755102040816
Links,0.00816326530612245,0.0,0.9918367346938776
List,0.47346938775510206,0.2755102040816326,0.573469387755102
Long Sentences,0.32040816326530613,0.09183673469387756,0.6857142857142857
Markdown,0.7693877551020408,0.363265306122449,0.48367346938775513
Math Symbols,0.8714285714285714,0.5346938775510204,0.5653061224489796
Numbered Steps,0.02040816326530612,0.026530612244897958,0.9571428571428572
Parentheses,0.3816326530612245,0.7163265306122449,0.5877551020408164
Questions,0.12244897959183673,0.07755102040816327,0.8816326530612245
Repetition,0.9877551020408163,0.9775510204081632,0.9775510204081632
Sign-off (End),0.0,0.01020408163265306,0.9897959183673469
Starts with List,0.018367346938775512,0.04693877551020408,0.9551020408163265
