style_function,response1,response2,match
ALL CAPS,0.1673469387755102,0.37551020408163266,0.7428571428571429
Blockquotes,0.0,0.0,1.0
Bullets,0.07959183673469387,0.23469387755102042,0.7591836734693878
Code Formatting,0.04693877551020408,0.11020408163265306,0.9244897959183673
Emojis,0.006122448979591836,0.004081632653061225,0.9979591836734694
Exclamations,0.20612244897959184,0.10408163265306122,0.7591836734693878
First-Person Pronouns,0.2673469387755102,0.5102040816326531,0.6673469387755102
Greeting (Start),0.022448979591836733,0.012244897959183673,0.9857142857142858
Header/Title,0.09183673469387756,0.05918367346938776,0.8734693877551021
Links,0.0,0.00816326530612245,0.9918367346938776
List,0.2755102040816326,0.573469387755102,0.5714285714285714
Long Sentences,0.09183673469387756,0.19183673469387755,0.8224489795918367
Markdown,0.363265306122449,0.6448979591836734,0.5877551020408164
Math Symbols,0.5346938775510204,0.7775510204081633,0.6346938775510204
Numbered Steps,0.026530612244897958,0.09795918367346938,0.8877551020408163
Parentheses,0.7163265306122449,0.5142857142857142,0.6877551020408164
Questions,0.07755102040816327,0.18775510204081633,0.8653061224489796
Repetition,0.9775510204081632,0.9653061224489796,0.9551020408163265
Sign-off (End),0.01020408163265306,0.0,0.9897959183673469
Starts with List,0.04693877551020408,0.08979591836734693,0.9
