style_function,response1,response2,match
ALL CAPS,0.3162217659137577,0.18275154004106775,0.7761806981519507
Blockquotes,0.0,0.0,1.0
Bullets,0.14168377823408623,0.07597535934291581,0.8316221765913757
Code Formatting,0.08418891170431211,0.053388090349075976,0.9527720739219713
Emojis,0.004106776180698152,0.004106776180698152,1.0
Exclamations,0.03285420944558522,0.1457905544147844,0.8706365503080082
First-Person Pronouns,0.4004106776180698,0.26899383983572894,0.6796714579055442
Greeting (Start),0.012320328542094456,0.024640657084188913,0.9794661190965093
Header/Title,0.12525667351129363,0.03285420944558522,0.8747433264887063
Links,0.006160164271047228,0.0,0.9938398357289527
List,0.3839835728952772,0.28336755646817247,0.6735112936344969
Long Sentences,0.4004106776180698,0.14989733059548255,0.6303901437371663
Markdown,0.5605749486652978,0.3408624229979466,0.5995893223819302
Math Symbols,0.7700205338809035,0.5112936344969199,0.6262833675564682
Numbered Steps,0.03696098562628337,0.055441478439425054,0.9117043121149897
Parentheses,0.3470225872689938,0.6180698151950719,0.6098562628336756
Questions,0.08829568788501027,0.09034907597535935,0.8788501026694046
Repetition,0.973305954825462,0.946611909650924,0.9404517453798767
Sign-off (End),0.0,0.0,1.0
Starts with List,0.049281314168377825,0.0513347022587269,0.9322381930184805
