style_function,response1,response2,match
ALL CAPS,0.301010101010101,0.16565656565656567,0.7919191919191919
Blockquotes,0.0,0.0,1.0
Bullets,0.10101010101010101,0.08282828282828283,0.8525252525252526
Code Formatting,0.08686868686868687,0.046464646464646465,0.9393939393939394
Emojis,0.012121212121212121,0.00404040404040404,0.9878787878787879
Exclamations,0.3212121212121212,0.2080808080808081,0.705050505050505
First-Person Pronouns,0.32727272727272727,0.26666666666666666,0.7414141414141414
Greeting (Start),0.04040404040404041,0.024242424242424242,0.9797979797979798
Header/Title,0.07676767676767676,0.09494949494949495,0.8686868686868687
Links,0.00404040404040404,0.0,0.9959595959595959
List,0.30707070707070705,0.2767676767676768,0.6585858585858586
Long Sentences,0.2202020202020202,0.09090909090909091,0.7454545454545455
Markdown,0.4121212121212121,0.3696969696969697,0.6505050505050505
Math Symbols,0.6404040404040404,0.5373737373737374,0.6545454545454545
Numbered Steps,0.04040404040404041,0.026262626262626262,0.9454545454545454
Parentheses,0.33131313131313134,0.7151515151515152,0.5838383838383838
Questions,0.09696969696969697,0.07676767676767676,0.9393939393939394
Repetition,0.9555555555555556,0.9777777777777777,0.9535353535353536
Sign-off (End),0.00202020202020202,0.010101010101010102,0.9878787878787879
Starts with List,0.048484848484848485,0.046464646464646465,0.9494949494949495
