style_function,response1,response2,match
ALL CAPS,0.16565656565656567,0.32727272727272727,0.7818181818181819
Blockquotes,0.0,0.0,1.0
Bullets,0.08282828282828283,0.16767676767676767,0.8181818181818182
Code Formatting,0.046464646464646465,0.09898989898989899,0.9353535353535354
Emojis,0.00404040404040404,0.00202020202020202,0.997979797979798
Exclamations,0.2080808080808081,0.17777777777777778,0.8121212121212121
First-Person Pronouns,0.26666666666666666,0.3616161616161616,0.7595959595959596
Greeting (Start),0.024242424242424242,0.024242424242424242,0.9797979797979798
Header/Title,0.09494949494949495,0.07272727272727272,0.8686868686868687
Links,0.0,0.010101010101010102,0.98989898989899
List,0.2767676767676768,0.4767676767676768,0.6181818181818182
Long Sentences,0.09090909090909091,0.21616161616161617,0.806060606060606
Markdown,0.3696969696969697,0.503030303030303,0.6808080808080809
Math Symbols,0.5373737373737374,0.6686868686868687,0.6707070707070707
Numbered Steps,0.026262626262626262,0.10303030303030303,0.8868686868686869
Parentheses,0.7151515151515152,0.4686868686868687,0.6888888888888889
Questions,0.07676767676767676,0.10707070707070707,0.9494949494949495
Repetition,0.9777777777777777,0.9474747474747475,0.9494949494949495
Sign-off (End),0.010101010101010102,0.0,0.98989898989899
Starts with List,0.046464646464646465,0.05454545454545454,0.9555555555555556
