style_function,response1,response2,match
ALL CAPS,0.2560483870967742,0.19153225806451613,0.8225806451612904
Blockquotes,0.0,0.0,1.0
Bullets,0.056451612903225805,0.0625,0.9133064516129032
Code Formatting,0.08669354838709678,0.036290322580645164,0.9455645161290323
Emojis,0.012096774193548387,0.0020161290322580645,0.9899193548387096
Exclamations,0.3387096774193548,0.13709677419354838,0.75
First-Person Pronouns,0.36693548387096775,0.2600806451612903,0.7318548387096774
Greeting (Start),0.06048387096774194,0.02217741935483871,0.9576612903225806
Header/Title,0.04838709677419355,0.08064516129032258,0.8991935483870968
Links,0.008064516129032258,0.0,0.9919354838709677
List,0.2600806451612903,0.25,0.7318548387096774
Long Sentences,0.25201612903225806,0.15725806451612903,0.7318548387096774
Markdown,0.3185483870967742,0.2963709677419355,0.7479838709677419
Math Symbols,0.6048387096774194,0.4637096774193548,0.6370967741935484
Numbered Steps,0.05241935483870968,0.06854838709677419,0.8911290322580645
Parentheses,0.2903225806451613,0.6673387096774194,0.5907258064516129
Questions,0.10483870967741936,0.0846774193548387,0.9153225806451613
Repetition,0.9475806451612904,0.9556451612903226,0.9556451612903226
Sign-off (End),0.004032258064516129,0.0,0.9959677419354839
Starts with List,0.04838709677419355,0.03024193548387097,0.9536290322580645
