style_function,response1,response2,match
ALL CAPS,0.19153225806451613,0.32661290322580644,0.7842741935483871
Blockquotes,0.0,0.0,1.0
Bullets,0.0625,0.1693548387096774,0.8245967741935484
Code Formatting,0.036290322580645164,0.10080645161290322,0.9354838709677419
Emojis,0.0020161290322580645,0.0020161290322580645,1.0
Exclamations,0.13709677419354838,0.17943548387096775,0.8770161290322581
First-Person Pronouns,0.2600806451612903,0.3629032258064516,0.7318548387096774
Greeting (Start),0.02217741935483871,0.024193548387096774,0.9818548387096774
Header/Title,0.08064516129032258,0.07459677419354839,0.905241935483871
Links,0.0,0.010080645161290322,0.9899193548387096
List,0.25,0.47580645161290325,0.6491935483870968
Long Sentences,0.15725806451612903,0.2157258064516129,0.7721774193548387
Markdown,0.2963709677419355,0.5040322580645161,0.6713709677419355
Math Symbols,0.4637096774193548,0.6693548387096774,0.6129032258064516
Numbered Steps,0.06854838709677419,0.1028225806451613,0.8568548387096774
Parentheses,0.6673387096774194,0.46975806451612906,0.6975806451612904
Questions,0.0846774193548387,0.10685483870967742,0.9375
Repetition,0.9556451612903226,0.9475806451612904,0.9556451612903226
Sign-off (End),0.0,0.0,1.0
Starts with List,0.03024193548387097,0.05443548387096774,0.9556451612903226
