style_function,response1,response2,match
ALL CAPS,0.2979591836734694,0.22244897959183674,0.7775510204081633
Blockquotes,0.0,0.0,1.0
Bullets,0.0673469387755102,0.07142857142857142,0.8857142857142857
Code Formatting,0.08163265306122448,0.05510204081632653,0.9612244897959183
Emojis,0.014285714285714285,0.004081632653061225,0.9897959183673469
Exclamations,0.2836734693877551,0.024489795918367346,0.7122448979591837
First-Person Pronouns,0.34285714285714286,0.3693877551020408,0.753061224489796
Greeting (Start),0.03469387755102041,0.012244897959183673,0.9734693877551021
Header/Title,0.03877551020408163,0.024489795918367346,0.9653061224489796
Links,0.006122448979591836,0.0,0.9938775510204082
List,0.2816326530612245,0.32857142857142857,0.7
Long Sentences,0.2612244897959184,0.10408163265306122,0.7163265306122449
Markdown,0.3877551020408163,0.46530612244897956,0.7142857142857143
Math Symbols,0.6081632653061224,0.6265306122448979,0.7163265306122449
Numbered Steps,0.03877551020408163,0.044897959183673466,0.9326530612244898
Parentheses,0.32448979591836735,0.726530612244898,0.5489795918367347
Questions,0.10612244897959183,0.11836734693877551,0.8938775510204081
Repetition,0.9530612244897959,0.9653061224489796,0.9469387755102041
Sign-off (End),0.0,0.0,1.0
Starts with List,0.05102040816326531,0.08979591836734693,0.8959183673469387
