style_function,response1,response2,match
ALL CAPS,0.22244897959183674,0.3224489795918367,0.7571428571428571
Blockquotes,0.0,0.0,1.0
Bullets,0.07142857142857142,0.1673469387755102,0.8142857142857143
Code Formatting,0.05510204081632653,0.09795918367346938,0.9571428571428572
Emojis,0.004081632653061225,0.004081632653061225,1.0
Exclamations,0.024489795918367346,0.17755102040816326,0.826530612244898
First-Person Pronouns,0.3693877551020408,0.3673469387755102,0.7081632653061225
Greeting (Start),0.012244897959183673,0.024489795918367346,0.9795918367346939
Header/Title,0.024489795918367346,0.07346938775510205,0.9346938775510204
Links,0.0,0.01020408163265306,0.9897959183673469
List,0.32857142857142857,0.47346938775510206,0.6551020408163265
Long Sentences,0.10408163265306122,0.2163265306122449,0.7938775510204081
Markdown,0.46530612244897956,0.5040816326530613,0.7244897959183674
Math Symbols,0.6265306122448979,0.6673469387755102,0.7183673469387755
Numbered Steps,0.044897959183673466,0.09795918367346938,0.8816326530612245
Parentheses,0.726530612244898,0.4714285714285714,0.6510204081632653
Questions,0.11836734693877551,0.11020408163265306,0.889795918367347
Repetition,0.9653061224489796,0.9489795918367347,0.9469387755102041
Sign-off (End),0.0,0.0020408163265306124,0.9979591836734694
Starts with List,0.08979591836734693,0.05102040816326531,0.8918367346938776
