style_function,response1,response2,match
ALL CAPS,0.18275154004106775,0.3264887063655031,0.8562628336755647
Blockquotes,0.0,0.0,1.0
Bullets,0.07802874743326489,0.16427104722792607,0.9137577002053389
Code Formatting,0.045174537987679675,0.0944558521560575,0.9507186858316222
Emojis,0.004106776180698152,0.004106776180698152,1.0
Exclamations,0.14168377823408623,0.17659137577002054,0.9650924024640657
First-Person Pronouns,0.26899383983572894,0.35728952772073924,0.9075975359342916
Greeting (Start),0.024640657084188913,0.024640657084188913,1.0
Header/Title,0.03285420944558522,0.07186858316221766,0.9609856262833676
Links,0.0,0.008213552361396304,0.9917864476386037
List,0.28336755646817247,0.4722792607802875,0.811088295687885
Long Sentences,0.1540041067761807,0.21765913757700206,0.9322381930184805
Markdown,0.3347022587268994,0.4989733059548255,0.8357289527720739
Math Symbols,0.5195071868583162,0.6652977412731006,0.8542094455852156
Numbered Steps,0.053388090349075976,0.10061601642710473,0.9527720739219713
Parentheses,0.6180698151950719,0.4702258726899384,0.8521560574948666
Questions,0.09034907597535935,0.10882956878850103,0.9815195071868583
Repetition,0.944558521560575,0.9486652977412731,0.9958932238193019
Sign-off (End),0.0,0.002053388090349076,0.997946611909651
Starts with List,0.055441478439425054,0.055441478439425054,1.0
