style_function,response1,response2,match
ALL CAPS,0.24248927038626608,0.3197424892703863,0.7896995708154506
Blockquotes,0.0,0.0,1.0
Bullets,0.023605150214592276,0.1609442060085837,0.8412017167381974
Code Formatting,0.045064377682403435,0.0944206008583691,0.9420600858369099
Emojis,0.002145922746781116,0.002145922746781116,1.0
Exclamations,0.17381974248927037,0.18240343347639484,0.8283261802575107
First-Person Pronouns,0.3605150214592275,0.3583690987124464,0.7103004291845494
Greeting (Start),0.027896995708154508,0.02575107296137339,0.98068669527897
Header/Title,0.006437768240343348,0.07081545064377683,0.9356223175965666
Links,0.006437768240343348,0.008583690987124463,0.9935622317596566
List,0.26609442060085836,0.4699570815450644,0.7188841201716738
Long Sentences,0.21030042918454936,0.21030042918454936,0.7124463519313304
Markdown,0.1630901287553648,0.5042918454935622,0.6072961373390557
Math Symbols,0.5042918454935622,0.6630901287553648,0.648068669527897
Numbered Steps,0.2167381974248927,0.09227467811158799,0.7811158798283262
Parentheses,0.5901287553648069,0.4656652360515021,0.7081545064377682
Questions,0.06652360515021459,0.10944206008583691,0.9227467811158798
Repetition,0.9935622317596566,0.944206008583691,0.9463519313304721
Sign-off (End),0.002145922746781116,0.002145922746781116,0.9957081545064378
Starts with List,0.05793991416309013,0.04935622317596566,0.9399141630901288
