style_function,response1,response2,match
ALL CAPS,0.3024193548387097,0.16733870967741934,0.8004032258064516
Blockquotes,0.0,0.0,1.0
Bullets,0.06048387096774194,0.0846774193548387,0.8709677419354839
Code Formatting,0.08669354838709678,0.04435483870967742,0.9415322580645161
Emojis,0.012096774193548387,0.006048387096774193,0.9939516129032258
Exclamations,0.1975806451612903,0.20967741935483872,0.7782258064516129
First-Person Pronouns,0.3810483870967742,0.2661290322580645,0.7237903225806451
Greeting (Start),0.034274193548387094,0.024193548387096774,0.9899193548387096
Header/Title,0.05846774193548387,0.0967741935483871,0.8729838709677419
Links,0.014112903225806451,0.0,0.9858870967741935
List,0.3649193548387097,0.28024193548387094,0.6491935483870968
Long Sentences,0.3487903225806452,0.0907258064516129,0.6693548387096774
Markdown,0.4596774193548387,0.3689516129032258,0.6189516129032258
Math Symbols,0.7096774193548387,0.5362903225806451,0.6169354838709677
Numbered Steps,0.08266129032258064,0.02620967741935484,0.907258064516129
Parentheses,0.34274193548387094,0.717741935483871,0.5725806451612904
Questions,0.06854838709677419,0.07661290322580645,0.9435483870967742
Repetition,0.9879032258064516,0.9778225806451613,0.9778225806451613
Sign-off (End),0.004032258064516129,0.010080645161290322,0.9899193548387096
Starts with List,0.04032258064516129,0.046370967741935484,0.9536290322580645
