style_function,response1,response2,match
ALL CAPS,0.16733870967741934,0.33669354838709675,0.7943548387096774
Blockquotes,0.0,0.0020161290322580645,0.9979838709677419
Bullets,0.0846774193548387,0.038306451612903226,0.8931451612903226
Code Formatting,0.04435483870967742,0.0907258064516129,0.9415322580645161
Emojis,0.006048387096774193,0.006048387096774193,1.0
Exclamations,0.20967741935483872,0.21370967741935484,0.8145161290322581
First-Person Pronouns,0.2661290322580645,0.4173387096774194,0.7116935483870968
Greeting (Start),0.024193548387096774,0.02620967741935484,0.9939516129032258
Header/Title,0.0967741935483871,0.024193548387096774,0.8790322580645161
Links,0.0,0.016129032258064516,0.9838709677419355
List,0.28024193548387094,0.36693548387096775,0.655241935483871
Long Sentences,0.0907258064516129,0.25806451612903225,0.7237903225806451
Markdown,0.3689516129032258,0.24193548387096775,0.655241935483871
Math Symbols,0.5362903225806451,0.6512096774193549,0.594758064516129
Numbered Steps,0.02620967741935484,0.3004032258064516,0.6975806451612904
Parentheses,0.717741935483871,0.44556451612903225,0.6270161290322581
Questions,0.07661290322580645,0.08064516129032258,0.9435483870967742
Repetition,0.9778225806451613,0.9939516129032258,0.9758064516129032
Sign-off (End),0.010080645161290322,0.004032258064516129,0.9899193548387096
Starts with List,0.046370967741935484,0.0625,0.9395161290322581
