style_function,response1,response2,match
ALL CAPS,0.18275154004106775,0.33880903490759756,0.7659137577002053
Blockquotes,0.0,0.002053388090349076,0.997946611909651
Bullets,0.07597535934291581,0.039014373716632446,0.9137577002053389
Code Formatting,0.053388090349075976,0.09034907597535935,0.9507186858316222
Emojis,0.004106776180698152,0.006160164271047228,0.997946611909651
Exclamations,0.14168377823408623,0.21765913757700206,0.8336755646817249
First-Person Pronouns,0.2669404517453799,0.4127310061601643,0.7063655030800822
Greeting (Start),0.024640657084188913,0.026694045174537988,0.9815195071868583
Header/Title,0.03285420944558522,0.022587268993839837,0.9527720739219713
Links,0.0,0.01642710472279261,0.9835728952772074
List,0.28542094455852157,0.3655030800821355,0.7597535934291582
Long Sentences,0.14989733059548255,0.2587268993839836,0.7104722792607803
Markdown,0.33880903490759756,0.24229979466119098,0.731006160164271
Math Symbols,0.5195071868583162,0.6509240246406571,0.6468172484599589
Numbered Steps,0.055441478439425054,0.2997946611909651,0.7268993839835729
Parentheses,0.6242299794661191,0.44763860369609854,0.7084188911704312
Questions,0.08624229979466119,0.08213552361396304,0.9260780287474333
Repetition,0.9425051334702259,0.9938398357289527,0.944558521560575
Sign-off (End),0.0,0.004106776180698152,0.9958932238193019
Starts with List,0.055441478439425054,0.061601642710472276,0.9363449691991786
