style_function,response1,response2,match
ALL CAPS,0.32181425485961124,0.24622030237580994,0.7991360691144709
Blockquotes,0.0021598272138228943,0.0,0.9978401727861771
Bullets,0.0367170626349892,0.02159827213822894,0.9546436285097192
Code Formatting,0.08855291576673865,0.04535637149028078,0.9438444924406048
Emojis,0.008639308855291577,0.004319654427645789,0.9956803455723542
Exclamations,0.16846652267818574,0.16630669546436286,0.8293736501079914
First-Person Pronouns,0.35853131749460043,0.34773218142548595,0.7300215982721382
Greeting (Start),0.0367170626349892,0.02591792656587473,0.9892008639308856
Header/Title,0.017278617710583154,0.004319654427645789,0.9870410367170627
Links,0.012958963282937365,0.008639308855291577,0.9913606911447084
List,0.2548596112311015,0.26997840172786175,0.8207343412526998
Long Sentences,0.4038876889848812,0.21382289416846653,0.67170626349892
Markdown,0.24406047516198703,0.16414686825053995,0.838012958963283
Math Symbols,0.6609071274298056,0.49892008639308855,0.6781857451403888
Numbered Steps,0.1771058315334773,0.2159827213822894,0.8228941684665226
Parentheses,0.4060475161987041,0.6155507559395248,0.673866090712743
Questions,0.07127429805615551,0.06695464362850972,0.9611231101511879
Repetition,0.9913606911447084,0.9956803455723542,0.9913606911447084
Sign-off (End),0.0,0.004319654427645789,0.9956803455723542
Starts with List,0.04319654427645788,0.06047516198704104,0.9481641468682506
